family,model_key,method_label,checklist_score,context_recall,context_tokens,distractor_leakage
ambiguous_reference,response_a,full_history,0.635,1.0,675.25,0.625
ambiguous_reference,response_a,oracle_dag,0.833,1.0,255.0,0.0
ambiguous_reference,response_a,oracle_tree,0.833,1.0,255.0,0.0
ambiguous_reference,response_a,rolling_summary@1024,0.635,1.0,675.25,0.5
ambiguous_reference,response_a,rolling_summary@2048,0.635,1.0,675.25,0.625
ambiguous_reference,response_a,semantic_retrieval@1024,0.635,1.0,675.25,0.625
ambiguous_reference,response_a,semantic_retrieval@2048,0.594,1.0,675.25,0.625
ambiguous_reference,response_a,sliding_window@1024,0.594,1.0,675.25,0.625
ambiguous_reference,response_a,sliding_window@2048,0.594,1.0,675.25,0.625
ambiguous_reference,response_b,full_history,0.573,1.0,675.25,0.625
ambiguous_reference,response_b,oracle_dag,0.917,1.0,255.0,0.0
ambiguous_reference,response_b,oracle_tree,0.917,1.0,255.0,0.0
ambiguous_reference,response_b,rolling_summary@1024,0.573,1.0,675.25,0.625
ambiguous_reference,response_b,rolling_summary@2048,0.573,1.0,675.25,0.625
ambiguous_reference,response_b,semantic_retrieval@1024,0.573,1.0,675.25,0.625
ambiguous_reference,response_b,semantic_retrieval@2048,0.604,1.0,675.25,0.625
ambiguous_reference,response_b,sliding_window@1024,0.604,1.0,675.25,0.625
ambiguous_reference,response_b,sliding_window@2048,0.604,1.0,675.25,0.625
compound_turn,response_a,full_history,0.792,1.0,1091.9,0.3
compound_turn,response_a,oracle_dag,0.7,1.0,584.0,0.3
compound_turn,response_a,oracle_tree,0.675,1.0,584.0,0.3
compound_turn,response_a,rolling_summary@1024,0.792,1.0,1041.0,0.3
compound_turn,response_a,rolling_summary@2048,0.767,1.0,1091.9,0.5
compound_turn,response_a,semantic_retrieval@1024,0.825,1.0,922.8,0.5
compound_turn,response_a,semantic_retrieval@2048,0.767,1.0,1091.9,0.4
compound_turn,response_a,sliding_window@1024,0.775,1.0,915.9,0.4
compound_turn,response_a,sliding_window@2048,0.742,1.0,1091.9,0.4
compound_turn,response_b,full_history,0.775,1.0,1091.9,0.3
compound_turn,response_b,oracle_dag,0.725,1.0,584.0,0.3
compound_turn,response_b,oracle_tree,0.725,1.0,584.0,0.3
compound_turn,response_b,rolling_summary@1024,0.792,1.0,1020.3,0.3
compound_turn,response_b,rolling_summary@2048,0.775,1.0,1091.9,0.3
compound_turn,response_b,semantic_retrieval@1024,0.742,1.0,922.8,0.3
compound_turn,response_b,semantic_retrieval@2048,0.775,1.0,1091.9,0.3
compound_turn,response_b,sliding_window@1024,0.85,1.0,915.9,0.2
compound_turn,response_b,sliding_window@2048,0.775,1.0,1091.9,0.3
constraint_retention,response_a,full_history,0.889,1.0,2781.167,0.25
constraint_retention,response_a,oracle_dag,0.972,1.0,243.0,0.0
constraint_retention,response_a,oracle_tree,0.972,1.0,243.0,0.0
constraint_retention,response_a,rolling_summary@1024,0.917,0.0,1247.5,0.25
constraint_retention,response_a,rolling_summary@2048,0.861,0.042,2204.0,0.417
constraint_retention,response_a,semantic_retrieval@1024,0.972,0.958,984.25,0.333
constraint_retention,response_a,semantic_retrieval@2048,1.0,1.0,2007.417,0.333
constraint_retention,response_a,sliding_window@1024,0.382,0.0,968.667,0.25
constraint_retention,response_a,sliding_window@2048,0.424,0.042,1985.333,0.5
constraint_retention,response_b,full_history,0.944,1.0,2781.167,0.417
constraint_retention,response_b,oracle_dag,0.861,1.0,243.0,0.0
constraint_retention,response_b,oracle_tree,0.819,1.0,243.0,0.0
constraint_retention,response_b,rolling_summary@1024,0.819,0.0,1246.583,0.5
constraint_retention,response_b,rolling_summary@2048,0.889,0.042,2194.0,0.5
constraint_retention,response_b,semantic_retrieval@1024,0.924,0.958,984.25,0.167
constraint_retention,response_b,semantic_retrieval@2048,0.972,1.0,2007.417,0.167
constraint_retention,response_b,sliding_window@1024,0.188,0.0,968.667,0.417
constraint_retention,response_b,sliding_window@2048,0.188,0.042,1985.333,0.583
continuation,response_a,full_history,0.825,1.0,823.6,0.0
