type,scenario_id,model,note
full_history_ge_oracle_dag,ambiguous_reference_001,response_a,full=1.00 dag=0.67
full_history_ge_oracle_dag,ambiguous_reference_002,response_a,full=0.33 dag=0.33
full_history_ge_oracle_dag,compound_turn_001,response_a,full=0.75 dag=0.25
full_history_ge_oracle_dag,compound_turn_004,response_a,full=1.00 dag=0.67
full_history_ge_oracle_dag,compound_turn_005,response_a,full=0.67 dag=0.33
full_history_ge_oracle_dag,compound_turn_007,response_a,full=1.00 dag=0.75
full_history_ge_oracle_dag,compound_turn_009,response_a,full=0.75 dag=0.50
full_history_ge_oracle_dag,continuation_002,response_a,full=0.25 dag=0.25
full_history_ge_oracle_dag,continuation_005,response_a,full=0.50 dag=0.50
full_history_ge_oracle_dag,continuation_010,response_a,full=0.50 dag=0.50
full_history_ge_oracle_dag,join_then_split_002,response_a,full=0.75 dag=0.50
full_history_ge_oracle_dag,join_then_split_007,response_a,full=1.00 dag=0.67
full_history_ge_oracle_dag,long_noisy_side_thread_006,response_a,full=1.00 dag=0.75
full_history_ge_oracle_dag,new_root_001,response_a,full=1.00 dag=0.67
full_history_ge_oracle_dag,new_root_006,response_a,full=0.67 dag=0.67
full_history_ge_oracle_dag,resume_001,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,resume_003,response_a,full=0.67 dag=0.67
full_history_ge_oracle_dag,resume_005,response_a,full=1.00 dag=0.33
full_history_ge_oracle_dag,resume_006,response_a,full=1.00 dag=0.75
full_history_ge_oracle_dag,resume_013,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,resume_015,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,semantic_decoy_001,response_a,full=1.00 dag=0.25
full_history_ge_oracle_dag,semantic_decoy_005,response_a,full=1.00 dag=0.75
full_history_ge_oracle_dag,semantic_decoy_006,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,semantic_decoy_012,response_a,full=1.00 dag=0.75
full_history_ge_oracle_dag,three_way_join_002,response_a,full=1.00 dag=0.75
full_history_ge_oracle_dag,three_way_join_003,response_a,full=0.25 dag=0.25
full_history_ge_oracle_dag,three_way_join_004,response_a,full=0.25 dag=0.25
full_history_ge_oracle_dag,three_way_join_008,response_a,full=0.25 dag=0.25
full_history_ge_oracle_dag,topic_fork_002,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,topic_fork_004,response_a,full=0.50 dag=0.50
full_history_ge_oracle_dag,topic_fork_007,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,two_branch_join_007,response_a,full=1.00 dag=0.75
full_history_ge_oracle_dag,two_branch_join_011,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,two_branch_join_014,response_a,full=0.75 dag=0.75
full_history_ge_oracle_dag,ambiguous_reference_002,response_b,full=0.33 dag=0.33
full_history_ge_oracle_dag,compound_turn_002,response_b,full=0.50 dag=0.50
full_history_ge_oracle_dag,compound_turn_004,response_b,full=1.00 dag=0.67
full_history_ge_oracle_dag,compound_turn_006,response_b,full=1.00 dag=0.33
full_history_ge_oracle_dag,compound_turn_007,response_b,full=0.50 dag=0.50
full_history_ge_oracle_dag,constraint_retention_003,response_b,full=1.00 dag=0.67
full_history_ge_oracle_dag,constraint_retention_007,response_b,full=0.67 dag=0.67
full_history_ge_oracle_dag,constraint_retention_010,response_b,full=1.00 dag=0.67
full_history_ge_oracle_dag,constraint_retention_011,response_b,full=1.00 dag=0.67
full_history_ge_oracle_dag,constraint_retention_012,response_b,full=0.67 dag=0.67
full_history_ge_oracle_dag,continuation_007,response_b,full=0.50 dag=0.50
full_history_ge_oracle_dag,continuation_010,response_b,full=0.50 dag=0.50
full_history_ge_oracle_dag,join_then_split_002,response_b,full=0.50 dag=0.50
full_history_ge_oracle_dag,join_then_split_003,response_b,full=1.00 dag=0.75
full_history_ge_oracle_dag,join_then_split_006,response_b,full=1.00 dag=0.75
full_history_ge_oracle_dag,join_then_split_007,response_b,full=0.67 dag=0.67
full_history_ge_oracle_dag,long_noisy_side_thread_001,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,long_noisy_side_thread_003,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,long_noisy_side_thread_006,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,long_noisy_side_thread_009,response_b,full=1.00 dag=0.75
full_history_ge_oracle_dag,long_noisy_side_thread_010,response_b,full=1.00 dag=0.33
full_history_ge_oracle_dag,new_root_007,response_b,full=0.67 dag=0.67
full_history_ge_oracle_dag,resume_001,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,resume_003,response_b,full=1.00 dag=0.67
full_history_ge_oracle_dag,resume_006,response_b,full=0.75 dag=0.75
full_history_ge_oracle_dag,resume_007,response_b,full=0.33 dag=0.33
full_history_ge_oracle_dag,resume_014,response_b,full=1.00 dag=0.33
full_history_ge_oracle_dag,semantic_decoy_001,response_b,full=0.50 dag=0.50
full_history_ge_oracle_dag,semantic_decoy_005,response_b,full=0.75 dag=0.75
