model,a,b,metric,n,mean_diff,ci_low,ci_high,families
response_a,oracle_dag,full_history,checklist_score,140,0.0244,-0.0113,0.0625,all
response_a,oracle_dag,full_history,context_tokens,140,-919.3429,-1145.522,-714.6709,all
response_a,oracle_dag,sliding_window@1024,checklist_score,140,0.1386,0.0849,0.1957,all
response_a,oracle_dag,sliding_window@1024,context_tokens,140,-395.5143,-435.9182,-353.5427,all
response_a,oracle_dag,sliding_window@2048,checklist_score,140,0.1273,0.0719,0.1849,all
response_a,oracle_dag,sliding_window@2048,context_tokens,140,-621.5643,-709.9293,-538.1784,all
response_a,oracle_dag,rolling_summary@1024,checklist_score,140,0.0249,-0.0102,0.061,all
response_a,oracle_dag,rolling_summary@1024,context_tokens,140,-489.95,-541.7571,-438.1059,all
response_a,oracle_dag,rolling_summary@2048,checklist_score,140,0.0314,-0.0031,0.0683,all
response_a,oracle_dag,rolling_summary@2048,context_tokens,140,-661.6214,-765.1739,-564.1495,all
response_a,oracle_dag,semantic_retrieval@1024,checklist_score,140,0.0137,-0.0208,0.0494,all
response_a,oracle_dag,semantic_retrieval@1024,context_tokens,140,-402.7357,-444.672,-361.6925,all
response_a,oracle_dag,semantic_retrieval@2048,checklist_score,140,0.006,-0.0274,0.0405,all
response_a,oracle_dag,semantic_retrieval@2048,context_tokens,140,-624.5214,-716.0798,-537.4055,all
response_a,oracle_dag,oracle_tree,checklist_score,33,0.3146,0.2045,0.4273,"two_branch_join,three_way_join,join_then_split"
response_b,oracle_dag,full_history,checklist_score,140,0.0348,-0.0063,0.0767,all
response_b,oracle_dag,full_history,context_tokens,140,-919.3429,-1143.6705,-717.5459,all
response_b,oracle_dag,sliding_window@1024,checklist_score,140,0.1633,0.1062,0.2241,all
response_b,oracle_dag,sliding_window@1024,context_tokens,140,-395.5143,-436.9504,-355.0554,all
response_b,oracle_dag,sliding_window@2048,checklist_score,140,0.1598,0.104,0.2202,all
response_b,oracle_dag,sliding_window@2048,context_tokens,140,-621.5643,-710.2646,-536.4852,all
response_b,oracle_dag,rolling_summary@1024,checklist_score,140,0.0401,-0.0039,0.0854,all
response_b,oracle_dag,rolling_summary@1024,context_tokens,140,-483.0571,-534.2014,-432.4927,all
response_b,oracle_dag,rolling_summary@2048,checklist_score,140,0.0443,0.0046,0.0854,all
response_b,oracle_dag,rolling_summary@2048,context_tokens,140,-661.7929,-764.1257,-563.2284,all
response_b,oracle_dag,semantic_retrieval@1024,checklist_score,140,0.0449,0.0002,0.0907,all
response_b,oracle_dag,semantic_retrieval@1024,context_tokens,140,-402.7357,-445.0289,-361.778,all
response_b,oracle_dag,semantic_retrieval@2048,checklist_score,140,0.0336,-0.0065,0.0755,all
response_b,oracle_dag,semantic_retrieval@2048,context_tokens,140,-624.5214,-714.2936,-537.9423,all
response_b,oracle_dag,oracle_tree,checklist_score,33,0.3278,0.2197,0.4354,"two_branch_join,three_way_join,join_then_split"
