key,scenario_id,family,method,budget,model_key,model,selected_turn_ids,context_tokens,build_latency_s,summarized_turn_ids,stale_superseder_missing,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,n_selected,n_evidence,n_distractors_selected,selected_turn_tokens,model_reported,input_tokens,output_tokens,answer_latency_s,stop_reason,usd,ts,checklist_score,all_required_satisfied,distractor_leakage,judge_model,judge_input_tokens,judge_output_tokens,method_label
ambiguous_reference_001|full_history|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,full_history,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5']",594,0.0073,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,claude-sonnet-4-6,752,113,3.096,end_turn,0.003951,1789258380.039673,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1070,236,full_history
ambiguous_reference_001|sliding_window|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,sliding_window,2048.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5']",594,0.0071,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,claude-sonnet-4-6,752,104,3.261,end_turn,0.003816,1789258380.205175,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1061,236,sliding_window@2048
ambiguous_reference_001|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,sliding_window,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5']",594,0.0072,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,claude-sonnet-4-6,752,160,4.207,end_turn,0.004656,1789258381.150562,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1117,284,sliding_window@1024
ambiguous_reference_001|rolling_summary|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,rolling_summary,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5']",594,0.0071,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,claude-sonnet-4-6,752,113,4.624,end_turn,0.003951,1789258381.567942,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1070,256,rolling_summary@1024
ambiguous_reference_001|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,semantic_retrieval,1024.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5']",594,0.2667,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,claude-sonnet-4-6,752,104,3.209,end_turn,0.003816,1789258383.6832519,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1061,230,semantic_retrieval@1024
ambiguous_reference_001|semantic_retrieval|2048|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,semantic_retrieval,2048.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5']",594,0.0011,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,claude-sonnet-4-6,752,160,3.997,end_turn,0.004656,1789258385.1490402,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1117,288,semantic_retrieval@2048
ambiguous_reference_001|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,oracle_tree,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",222,0.0003,[],[],1.0,1.0,1.0,1,0.0,2,2,0,222,claude-sonnet-4-6,346,122,3.699,end_turn,0.002868,1789258385.268068,0.6666666666666666,0,0,global.anthropic.claude-opus-4-6-v1,1079,313,oracle_tree
ambiguous_reference_001|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,oracle_dag,,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",222,0.0003,[],[],1.0,1.0,1.0,1,0.0,2,2,0,222,claude-sonnet-4-6,346,122,3.865,end_turn,0.002868,1789258387.549145,0.6666666666666666,0,0,global.anthropic.claude-opus-4-6-v1,1079,313,oracle_dag
ambiguous_reference_001|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,full_history,,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5']",594,0.0006,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,anthropic.claude-haiku-4-5-20251001-v1:0,751,149,2.452,end_turn,0.001496,1789258387.603282,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1106,301,full_history
ambiguous_reference_001|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference_001,ambiguous_reference,sliding_window,1024.0,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5']",594,0.0013,[],[],0.4,1.0,0.5714285714285715,1,0.6262626262626263,5,2,3,594,anthropic.claude-haiku-4-5-20251001-v1:0,751,149,2.484,end_turn,0.001496,1789258387.754267,1.0,1,0,global.anthropic.claude-opus-4-6-v1,1106,299,sliding_window@1024
