model_key,method_label,context_tokens,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,checklist_score,all_required_satisfied,distractor_leakage,input_tokens,output_tokens,answer_latency_s,build_latency_s,context_tokens_median,n,token_reduction_pct,checklist_ci_low,checklist_ci_high
response_a,full_history,1387.6286,0.443,1.0,0.5536,1.0,0.5459,0.8583,0.6571,0.1643,1663.4214,202.0357,5.4482,0.0016,950.0,140,0.0,0.8196,0.8952
response_a,oracle_dag,468.2857,0.9524,1.0,0.9643,1.0,0.0406,0.8827,0.7071,0.0286,639.5143,234.6786,8.3196,0.0007,437.5,140,66.2528,0.8464,0.9155
response_a,oracle_tree,399.7357,0.9524,0.9011,0.892,0.8357,0.0406,0.8104,0.5857,0.0286,563.7214,231.9357,8.549,0.0006,325.5,140,71.1929,0.7656,0.8526
response_a,rolling_summary@1024,958.2357,0.4138,0.77,0.4999,0.6571,0.5746,0.8579,0.6571,0.1571,1190.3,217.4071,7.9423,8.1741,950.0,140,30.9444,0.8186,0.8948
response_a,rolling_summary@2048,1129.9071,0.432,0.8464,0.5332,0.8429,0.5576,0.8513,0.6643,0.1857,1379.6714,206.0286,7.4258,3.0003,950.0,140,18.5728,0.8101,0.8906
response_a,semantic_retrieval@1024,871.0214,0.4957,0.9905,0.6143,0.9571,0.4905,0.869,0.7,0.1643,1088.3857,200.4214,8.2291,0.016,914.0,140,37.2295,0.8286,0.906
response_a,semantic_retrieval@2048,1092.8071,0.4524,1.0,0.569,1.0,0.5359,0.8768,0.7071,0.1643,1334.6143,200.5,7.2952,0.0013,950.0,140,21.2464,0.8375,0.9131
response_a,sliding_window@1024,863.8,0.4138,0.77,0.4999,0.6571,0.5746,0.7442,0.5357,0.2143,1081.1071,195.8857,7.1034,0.0019,902.5,140,37.7499,0.6889,0.7988
response_a,sliding_window@2048,1089.85,0.432,0.8464,0.5332,0.8429,0.5576,0.7555,0.5571,0.2071,1333.0,193.6786,7.2731,0.0021,950.0,140,21.4595,0.6982,0.808
response_b,full_history,1387.6286,0.443,1.0,0.5536,1.0,0.5459,0.8263,0.6143,0.1786,1662.4214,202.0071,2.8058,0.0016,950.0,140,0.0,0.7813,0.8679
response_b,oracle_dag,468.2857,0.9524,1.0,0.9643,1.0,0.0406,0.8611,0.6143,0.0286,638.5143,208.6429,7.1021,0.0009,437.5,140,66.2528,0.8275,0.8926
response_b,oracle_tree,399.7357,0.9524,0.9011,0.892,0.8357,0.0406,0.7802,0.5071,0.0286,562.7214,205.4071,6.6309,0.0008,325.5,140,71.1929,0.7373,0.8219
response_b,rolling_summary@1024,951.3429,0.4138,0.77,0.4999,0.6571,0.5746,0.821,0.6071,0.1857,1181.5143,218.2571,3.1811,1.2376,950.0,140,31.4411,0.7751,0.8631
response_b,rolling_summary@2048,1130.0786,0.432,0.8464,0.5332,0.8429,0.5576,0.8168,0.5929,0.1857,1378.8071,208.4714,4.1337,0.6023,950.0,140,18.5604,0.7721,0.8589
response_b,semantic_retrieval@1024,871.0214,0.4957,0.9905,0.6143,0.9571,0.4905,0.8162,0.5929,0.1429,1087.3857,198.5929,4.82,0.0013,914.0,140,37.2295,0.7702,0.8601
response_b,semantic_retrieval@2048,1092.8071,0.4524,1.0,0.569,1.0,0.5359,0.8275,0.6143,0.1571,1333.6143,198.8786,6.1797,0.0013,950.0,140,21.2464,0.7835,0.8686
response_b,sliding_window@1024,863.8,0.4138,0.77,0.4999,0.6571,0.5746,0.6977,0.4714,0.2071,1080.1071,191.2929,2.6766,0.0018,902.5,140,37.7499,0.6394,0.7542
response_b,sliding_window@2048,1089.85,0.432,0.8464,0.5332,0.8429,0.5576,0.7013,0.4929,0.2357,1332.0,194.7071,2.6977,0.0021,950.0,140,21.4595,0.6406,0.7575
