model,judge,a,b,n,families,q_diff,q_ci_low,q_ci_high,p_noninferior,noninferior_ci,tok_diff,tok_diff_ci_low,tok_diff_ci_high,tok_ratio,tok_ratio_ci_low,tok_ratio_ci_high,confirmatory,direction,p_holm,noninferior_holm
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,145,all,0.0184,-0.0132,0.0523,0.0011,True,-420.8483,-462.021,-379.2893,0.5288,0.4854,0.5727,True,reference_vs_baseline,0.0022,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,145,all,0.0069,-0.0241,0.0402,0.0103,True,-715.5241,-813.8353,-620.7445,0.3976,0.3518,0.4467,True,reference_vs_baseline,0.0103,True
response_a,opus,candidate_oracle@15,rolling_summary@1024,145,all,0.0286,-0.0052,0.0636,0.0002,True,-522.8621,-575.614,-470.9426,0.4746,0.4328,0.5179,True,reference_vs_baseline,0.0006,True
response_a,opus,candidate_oracle@15,rolling_summary@2048,145,all,0.0407,0.008,0.0749,0.0,True,-764.6138,-876.5452,-655.7233,0.3819,0.3359,0.433,True,reference_vs_baseline,0.0,True
response_a,opus,candidate_oracle@15,full_history,145,all,0.0305,-0.0034,0.0655,0.0,True,-1035.4,-1246.7593,-828.6131,0.3133,0.2639,0.374,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@15,sliding_window@1024,145,all,0.2016,0.1415,0.2633,0.0,True,-411.931,-454.3393,-370.3226,0.5342,0.4893,0.5789,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@15,sliding_window@2048,145,all,0.1585,0.1045,0.2147,0.0,True,-711.1724,-810.3912,-616.7507,0.3991,0.3532,0.4487,False,reference_vs_baseline,,
response_a,opus,semantic_retrieval@1024,candidate_oracle@15,145,all,-0.0184,-0.0517,0.0132,0.2313,False,420.8483,378.7447,461.9683,1.891,1.7437,2.0593,False,baseline_vs_reference,,
response_a,opus,semantic_retrieval@2048,candidate_oracle@15,145,all,-0.0069,-0.0397,0.0247,0.0788,False,715.5241,619.9026,813.2422,2.5149,2.2339,2.8368,False,baseline_vs_reference,,
response_a,opus,rolling_summary@1024,candidate_oracle@15,145,all,-0.0286,-0.0629,0.0041,0.4703,False,522.8621,470.565,577.5795,2.107,1.9309,2.3196,False,baseline_vs_reference,,
response_a,opus,rolling_summary@2048,candidate_oracle@15,145,all,-0.0407,-0.0746,-0.008,0.7274,False,764.6138,658.1422,876.1431,2.6188,2.312,2.9774,False,baseline_vs_reference,,
response_a,opus,candidate_oracle@10,semantic_retrieval@1024,145,all,0.0184,-0.0138,0.0517,0.0011,True,-384.669,-439.3948,-321.9167,0.5693,0.5096,0.6399,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@10,semantic_retrieval@2048,145,all,0.0069,-0.0241,0.0402,0.0105,True,-679.3448,-778.4288,-584.3238,0.4281,0.3739,0.4863,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@10,rolling_summary@1024,145,all,0.0286,-0.0046,0.0641,0.0003,True,-486.6828,-549.6924,-418.241,0.511,0.4544,0.5762,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@10,rolling_summary@2048,145,all,0.0407,0.0086,0.0752,0.0,True,-728.4345,-839.7119,-620.2724,0.4111,0.3577,0.4711,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@10,full_history,145,all,0.0305,-0.0029,0.0655,0.0001,True,-999.2207,-1225.0783,-799.3095,0.3373,0.2801,0.4028,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@10,sliding_window@1024,145,all,0.2016,0.1431,0.2636,0.0,True,-375.7517,-430.5003,-313.3229,0.5751,0.5149,0.6447,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@10,sliding_window@2048,145,all,0.1585,0.1046,0.2163,0.0,True,-674.9931,-775.4103,-580.7584,0.4297,0.3745,0.4889,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@5,semantic_retrieval@1024,145,all,0.0011,-0.0276,0.0316,0.0176,True,155.7862,25.7029,298.0145,1.1744,1.0292,1.3313,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@5,semantic_retrieval@2048,145,all,-0.0103,-0.0362,0.0167,0.065,False,-138.8897,-253.3028,-19.3695,0.8831,0.7859,0.984,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@5,rolling_summary@1024,145,all,0.0114,-0.0197,0.0441,0.0043,True,53.7724,-68.5034,187.7534,1.054,0.9302,1.1868,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@5,rolling_summary@2048,145,all,0.0234,-0.0025,0.0515,0.0,True,-187.9793,-301.2974,-72.7203,0.848,0.7572,0.9408,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@5,full_history,145,all,0.0132,-0.0052,0.0351,0.0,True,-458.7655,-661.6819,-276.6781,0.6957,0.5976,0.8012,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@5,sliding_window@1024,145,all,0.1844,0.1299,0.2411,0.0,True,164.7034,32.2059,305.86,1.1863,1.0368,1.3444,False,reference_vs_baseline,,
response_a,opus,candidate_oracle@5,sliding_window@2048,145,all,0.1413,0.0908,0.1948,0.0,True,-134.5379,-248.1612,-18.3022,0.8863,0.791,0.9847,False,reference_vs_baseline,,
response_a,opus,oracle_dag,semantic_retrieval@1024,145,all,0.0144,-0.0184,0.0483,0.0048,True,-422.2966,-463.8417,-379.965,0.5272,0.4834,0.5717,False,reference_vs_baseline,,
response_a,opus,oracle_dag,semantic_retrieval@2048,145,all,0.0029,-0.0293,0.0351,0.0232,True,-716.9724,-812.366,-623.7222,0.3964,0.3516,0.4442,False,reference_vs_baseline,,
response_a,opus,oracle_dag,rolling_summary@1024,145,all,0.0246,-0.0093,0.0602,0.0007,True,-524.3103,-577.835,-471.8617,0.4732,0.4301,0.5171,False,reference_vs_baseline,,
response_a,opus,oracle_dag,rolling_summary@2048,145,all,0.0367,0.0032,0.0716,0.0,True,-766.0621,-878.6429,-657.7445,0.3807,0.3349,0.4318,False,reference_vs_baseline,,
response_a,opus,oracle_dag,full_history,145,all,0.0264,-0.008,0.0609,0.0006,True,-1036.8483,-1251.2502,-832.244,0.3123,0.2637,0.3715,False,reference_vs_baseline,,
response_a,opus,oracle_dag,sliding_window@1024,145,all,0.1976,0.1382,0.2584,0.0,True,-413.3793,-455.3453,-371.5581,0.5325,0.4881,0.5774,False,reference_vs_baseline,,
response_a,opus,oracle_dag,sliding_window@2048,145,all,0.1545,0.0948,0.2148,0.0,True,-712.6207,-807.9828,-619.2462,0.3979,0.3531,0.4466,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@15,semantic_retrieval@1024,145,all,0.0374,-0.0029,0.0782,0.0007,True,-420.8483,-462.4484,-378.8481,0.5288,0.4847,0.5736,True,reference_vs_baseline,0.0028,True
response_b,opus,candidate_oracle@15,semantic_retrieval@2048,145,all,0.023,-0.0167,0.0655,0.0047,True,-715.5241,-816.0238,-621.0131,0.3976,0.3515,0.4475,True,reference_vs_baseline,0.0047,True
response_b,opus,candidate_oracle@15,rolling_summary@1024,145,all,0.0293,-0.0115,0.0718,0.0023,True,-515.2621,-567.9457,-461.8272,0.4783,0.4356,0.5234,True,reference_vs_baseline,0.0046,True
response_b,opus,candidate_oracle@15,rolling_summary@2048,145,all,0.0316,-0.0086,0.0719,0.0013,True,-762.2069,-873.0091,-651.9512,0.3826,0.3373,0.4344,True,reference_vs_baseline,0.0039,True
response_b,opus,candidate_oracle@15,full_history,145,all,0.031,-0.0103,0.0718,0.0015,True,-1035.4,-1252.2874,-829.8795,0.3133,0.2636,0.3734,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@15,sliding_window@1024,145,all,0.2167,0.1523,0.2833,0.0,True,-411.931,-454.525,-369.9366,0.5342,0.4887,0.5794,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@15,sliding_window@2048,145,all,0.1741,0.1126,0.2391,0.0,True,-711.1724,-808.6095,-618.255,0.3991,0.3542,0.4478,False,reference_vs_baseline,,
response_b,opus,semantic_retrieval@1024,candidate_oracle@15,145,all,-0.0374,-0.0782,0.0029,0.6372,False,420.8483,378.785,462.0569,1.891,1.7451,2.0599,False,baseline_vs_reference,,
response_b,opus,semantic_retrieval@2048,candidate_oracle@15,145,all,-0.023,-0.0644,0.0173,0.3575,False,715.5241,621.1309,812.8219,2.5149,2.2379,2.837,False,baseline_vs_reference,,
response_b,opus,rolling_summary@1024,candidate_oracle@15,145,all,-0.0293,-0.0707,0.0126,0.4733,False,515.2621,463.381,567.1048,2.0909,1.9139,2.2967,False,baseline_vs_reference,,
response_b,opus,rolling_summary@2048,candidate_oracle@15,145,all,-0.0316,-0.073,0.008,0.5244,False,762.2069,654.0067,876.8574,2.6137,2.3062,2.9747,False,baseline_vs_reference,,
response_b,opus,candidate_oracle@10,semantic_retrieval@1024,145,all,0.0356,-0.0052,0.0764,0.0012,True,-384.669,-440.194,-323.5924,0.5693,0.5088,0.637,False,reference_vs_baseline,,
response_b,opus,candidate_oracle@10,semantic_retrieval@2048,145,all,0.0213,-0.0207,0.0615,0.0083,True,-679.3448,-779.2841,-583.819,0.4281,0.3732,0.4878,False,reference_vs_baseline,,
