model,judge,a,b,n,families,pooled_models,q_diff,q_ci_low,q_ci_high,p_noninferior,noninferior_ci,tok_diff,tok_diff_ci_low,tok_diff_ci_high,tok_ratio,tok_ratio_ci_low,tok_ratio_ci_high,family,within_noise_floor
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,8,ambiguous_reference,,0.1979,0.0,0.4479,0.0,True,-420.25,-484.7531,-363.1094,0.3776,0.3451,0.4093,ambiguous_reference,False
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,15,compound_turn,,-0.0778,-0.1833,0.0333,0.8005,False,-319.9333,-367.085,-268.8633,0.6548,0.6123,0.7023,compound_turn,False
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,12,constraint_retention,,0.0,-0.0833,0.0833,0.1265,False,-741.25,-776.4208,-707.8271,0.2469,0.2228,0.2701,constraint_retention,True
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,10,continuation,,0.1,0.0,0.25,0.0,True,14.2,0.0,42.6,1.0175,1.0,1.052,continuation,False
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,10,join_then_split,,-0.0583,-0.1335,0.0,0.7575,False,-538.2,-583.4,-492.5975,0.3494,0.3251,0.3772,join_then_split,True
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,12,knowledge_update,,0.0,0.0,0.0,0.0,True,-678.1667,-711.925,-641.4104,0.3132,0.2894,0.3401,knowledge_update,True
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,10,long_noisy_side_thread,,0.0333,0.0,0.1,0.0,True,-656.6,-697.9025,-613.3,0.3314,0.3015,0.3622,long_noisy_side_thread,True
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,8,new_root,,0.1458,-0.0208,0.3125,0.023,True,-858.0,-940.75,-782.0,0.0,0.0,0.0,new_root,False
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,15,resume,,-0.0222,-0.0889,0.0333,0.384,False,-495.4667,-540.8667,-450.7333,0.4579,0.4055,0.5099,resume,True
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,12,semantic_decoy,,-0.0486,-0.1528,0.0625,0.6115,False,-351.6667,-408.1833,-295.7479,0.5962,0.5386,0.6599,semantic_decoy,True
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,8,three_way_join,,0.1562,-0.0625,0.4375,0.078,False,-122.5,-187.625,-58.25,0.8598,0.7786,0.9345,three_way_join,False
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,10,topic_fork,,0.05,0.0,0.125,0.0,True,-192.2,-250.0025,-130.495,0.7979,0.737,0.862,topic_fork,True
response_a,opus,candidate_oracle@15,semantic_retrieval@1024,15,two_branch_join,,-0.0333,-0.0833,0.0,0.5985,False,-173.6667,-215.6017,-130.73,0.797,0.7508,0.8418,two_branch_join,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,8,ambiguous_reference,,0.1979,0.0312,0.4479,0.0,True,-420.25,-481.375,-365.4906,0.3776,0.3451,0.4094,ambiguous_reference,False
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,15,compound_turn,,-0.0389,-0.15,0.0778,0.567,False,-444.8,-516.3333,-381.4633,0.5771,0.5343,0.6176,compound_turn,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,12,constraint_retention,,-0.0278,-0.0833,0.0,0.27,False,-1764.4167,-1792.5,-1731.5812,0.1211,0.1112,0.1324,constraint_retention,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,10,continuation,,0.05,0.0,0.15,0.0,True,0.0,0.0,0.0,1.0,1.0,1.0,continuation,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,10,join_then_split,,-0.0083,-0.1,0.075,0.362,False,-538.2,-581.4,-494.1975,0.3494,0.3253,0.3754,join_then_split,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,12,knowledge_update,,0.0,0.0,0.0,0.0,True,-1661.5,-1709.1688,-1602.9146,0.1569,0.146,0.1679,knowledge_update,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,10,long_noisy_side_thread,,0.0083,-0.075,0.1,0.131,False,-1672.6,-1705.315,-1634.3975,0.1629,0.1502,0.1766,long_noisy_side_thread,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,8,new_root,,0.0729,-0.0833,0.2083,0.104,False,-939.875,-1079.5062,-802.625,0.0,0.0,0.0,new_root,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,15,resume,,0.0222,-0.0333,0.0889,0.0555,False,-620.4667,-720.9383,-527.1917,0.4028,0.3596,0.4482,resume,True
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,12,semantic_decoy,,-0.1319,-0.278,0.0,0.9245,False,-497.8333,-570.6,-418.3958,0.5106,0.4836,0.5375,semantic_decoy,False
response_a,opus,candidate_oracle@15,semantic_retrieval@2048,8,three_way_join,,0.125,-0.0625,0.3438,0.0945,False,-163.0,-228.8781,-96.625,0.8217,0.7556,0.8919,three_way_join,False
