arm,k_samples_per_cell,sigma_eff,n_scenarios_for_2.6pp_80pct_power
response_a,1,0.1932,432.8587
response_a,2,0.1783,368.5598
response_a,3,0.173,347.1268
response_a,5,0.1687,329.9804
response_b,1,0.2277,601.4633
response_b,2,0.2157,539.757
response_b,3,0.2116,519.1883
response_b,5,0.2082,502.7333
response_c,1,0.1675,325.475
response_c,2,0.1509,264.1643
response_c,3,0.145,243.7274
response_c,5,0.14,227.3778
pooled,1,0.1988,458.2982
pooled,2,0.1848,396.1377
pooled,3,0.1799,375.4175
pooled,5,0.1759,358.8414
