model_key,response_a,response_a,response_a,response_a,response_a,response_b,response_b,response_b,response_b,response_b,response_c,response_c,response_c
method_label,candidate_oracle@10,candidate_oracle@15,candidate_oracle@5,full_history,oracle_dag,candidate_oracle@10,candidate_oracle@15,candidate_oracle@5,full_history,oracle_dag,candidate_oracle@15,full_history,oracle_dag
family,,,,,,,,,,,,,
ambiguous_reference,0.833,0.833,0.792,0.635,0.792,0.875,0.875,0.792,0.635,0.833,0.958,0.615,0.917
compound_turn,0.739,0.739,0.744,0.778,0.767,0.672,0.672,0.689,0.75,0.683,0.85,0.867,0.794
constraint_retention,0.972,0.972,0.889,0.889,0.972,0.917,0.917,0.917,0.944,0.861,0.917,0.944,0.896
continuation,0.875,0.875,0.825,0.825,0.825,0.925,0.925,0.925,0.9,0.9,0.825,0.875,0.9
join_then_split,0.867,0.867,0.875,0.9,0.917,0.9,0.9,0.867,0.817,0.867,0.925,0.875,0.892
knowledge_update,1.0,1.0,1.0,1.0,1.0,0.951,0.951,0.917,0.917,0.944,0.931,0.979,0.951
long_noisy_side_thread,0.95,0.95,0.95,0.942,0.975,0.858,0.883,0.858,0.9,0.833,0.95,0.95,0.975
new_root,0.958,0.958,0.958,0.802,0.917,0.844,0.844,0.844,0.354,0.875,0.917,0.802,0.958
resume,0.928,0.928,0.933,0.911,0.867,0.8,0.8,0.9,0.906,0.856,0.894,0.844,0.9
semantic_decoy,0.806,0.806,0.875,0.896,0.854,0.847,0.847,0.826,0.806,0.826,0.931,0.931,0.868
three_way_join,0.781,0.781,0.625,0.625,0.688,0.875,0.875,0.875,0.875,0.875,0.844,0.844,0.875
topic_fork,0.85,0.85,0.8,0.775,0.9,0.8,0.8,0.775,0.775,0.825,0.95,0.8,0.9
two_branch_join,0.95,0.95,0.95,0.967,0.95,0.862,0.862,0.901,0.884,0.876,0.931,0.953,0.937
