model,a,b,metric,n,mean_diff,ci_low,ci_high,families
response_a,candidate_oracle@5,oracle_dag,checklist_score,144,-0.0156,-0.0446,0.0133,all
response_a,candidate_oracle@5,oracle_dag,context_tokens,145,578.0828,439.369,734.3945,all
response_a,candidate_oracle@5,full_history,checklist_score,144,0.0133,-0.0058,0.0347,all
response_a,candidate_oracle@5,full_history,context_tokens,145,-458.7655,-671.7933,-276.0497,all
response_a,candidate_oracle@5[recall-holds],full_history,checklist_score,48,0.0399,-0.0174,0.1024,all
response_a,candidate_oracle@5,oracle_dag,checklist_score,33,-0.0278,-0.096,0.0328,"two_branch_join,three_way_join,join_then_split"
response_a,candidate_oracle@10,oracle_dag,checklist_score,145,0.004,-0.019,0.0287,all
response_a,candidate_oracle@10,oracle_dag,context_tokens,145,37.6276,1.4483,90.4138,all
response_a,candidate_oracle@10,full_history,checklist_score,145,0.0305,-0.0034,0.0649,all
response_a,candidate_oracle@10,full_history,context_tokens,145,-999.2207,-1225.4505,-796.5779,all
response_a,candidate_oracle@10[recall-holds],full_history,checklist_score,141,0.0313,-0.0024,0.0668,all
response_a,candidate_oracle@10,oracle_dag,checklist_score,33,0.0076,-0.0379,0.0682,"two_branch_join,three_way_join,join_then_split"
response_a,candidate_oracle@15,oracle_dag,checklist_score,145,0.004,-0.019,0.0287,all
response_a,candidate_oracle@15,oracle_dag,context_tokens,145,1.4483,0.0,4.3448,all
response_a,candidate_oracle@15,full_history,checklist_score,145,0.0305,-0.0029,0.0644,all
response_a,candidate_oracle@15,full_history,context_tokens,145,-1035.4,-1258.9669,-833.4455,all
response_a,candidate_oracle@15[recall-holds],full_history,checklist_score,144,0.0307,-0.0035,0.0648,all
response_a,candidate_oracle@15,oracle_dag,checklist_score,33,0.0076,-0.0379,0.0682,"two_branch_join,three_way_join,join_then_split"
response_a,oracle_dag,full_history,checklist_score,145,0.0264,-0.0069,0.0603,all
response_a,oracle_dag,full_history,context_tokens,145,-1036.8483,-1261.016,-834.4943,all
response_b,candidate_oracle@5,oracle_dag,checklist_score,144,0.0044,-0.0256,0.0347,all
response_b,candidate_oracle@5,oracle_dag,context_tokens,145,578.0828,436.8474,735.1397,all
response_b,candidate_oracle@5,full_history,checklist_score,144,0.0324,0.0023,0.0631,all
response_b,candidate_oracle@5,full_history,context_tokens,145,-458.7655,-667.1014,-279.3533,all
response_b,candidate_oracle@5[recall-holds],full_history,checklist_score,48,0.0972,0.0087,0.1875,all
response_b,candidate_oracle@5,oracle_dag,checklist_score,33,0.0116,-0.0439,0.0657,"two_branch_join,three_way_join,join_then_split"
response_b,candidate_oracle@10,oracle_dag,checklist_score,145,0.0032,-0.0201,0.0268,all
response_b,candidate_oracle@10,oracle_dag,context_tokens,145,37.6276,1.4483,90.4862,all
response_b,candidate_oracle@10,full_history,checklist_score,145,0.0293,-0.0121,0.0713,all
response_b,candidate_oracle@10,full_history,context_tokens,145,-999.2207,-1222.5926,-798.8038,all
response_b,candidate_oracle@10[recall-holds],full_history,checklist_score,141,0.0301,-0.0124,0.0727,all
response_b,candidate_oracle@10,oracle_dag,checklist_score,33,0.004,-0.0465,0.0556,"two_branch_join,three_way_join,join_then_split"
response_b,candidate_oracle@15,oracle_dag,checklist_score,145,0.0049,-0.0186,0.0291,all
response_b,candidate_oracle@15,oracle_dag,context_tokens,145,1.4483,0.0,4.3448,all
response_b,candidate_oracle@15,full_history,checklist_score,145,0.031,-0.0098,0.0724,all
response_b,candidate_oracle@15,full_history,context_tokens,145,-1035.4,-1259.3471,-830.7207,all
response_b,candidate_oracle@15[recall-holds],full_history,checklist_score,144,0.0312,-0.0098,0.0735,all
response_b,candidate_oracle@15,oracle_dag,checklist_score,33,0.004,-0.0455,0.0581,"two_branch_join,three_way_join,join_then_split"
response_b,oracle_dag,full_history,checklist_score,145,0.0261,-0.0132,0.0663,all
response_b,oracle_dag,full_history,context_tokens,145,-1036.8483,-1256.5472,-827.2972,all
response_c,candidate_oracle@15,oracle_dag,checklist_score,123,0.0129,-0.0115,0.0379,all
response_c,candidate_oracle@15,oracle_dag,context_tokens,145,1.4483,0.0,4.3448,all
response_c,candidate_oracle@15,full_history,checklist_score,124,0.0316,-0.0013,0.0665,all
response_c,candidate_oracle@15,full_history,context_tokens,145,-1035.4,-1263.6817,-829.5645,all
response_c,candidate_oracle@15[recall-holds],full_history,checklist_score,123,0.0339,0.0007,0.0691,all
response_c,candidate_oracle@15,oracle_dag,checklist_score,27,0.0216,-0.0185,0.0617,"two_branch_join,three_way_join,join_then_split"
response_c,oracle_dag,full_history,checklist_score,122,0.0232,-0.0116,0.0601,all
response_c,oracle_dag,full_history,context_tokens,145,-1036.8483,-1262.2626,-832.7576,all
