dropped_source,k,strict_recall,delta_vs_full,fractional_recall
active_branch,3,0.2759,0.1586,0.6404
active_branch,5,0.469,0.131,0.7919
active_branch,10,0.9793,0.0069,0.9943
active_branch,15,0.9931,0.0,0.9985
active_branch,20,0.9931,0.0,0.9985
active_branch,uncapped,0.9931,0.0,0.9985
inactive_heads,3,0.1241,0.0069,0.4054
inactive_heads,5,0.3448,0.0069,0.719
inactive_heads,10,0.9724,0.0,0.992
inactive_heads,15,0.9793,-0.0138,0.9943
inactive_heads,20,0.9793,-0.0138,0.9943
inactive_heads,uncapped,0.9793,-0.0138,0.9943
semantic,3,0.0966,-0.0207,0.4134
semantic,5,0.2828,-0.0552,0.7025
semantic,10,0.3862,-0.5862,0.752
semantic,15,0.3862,-0.6069,0.752
semantic,20,0.3862,-0.6069,0.752
semantic,uncapped,0.3862,-0.6069,0.752
entity_overlap,3,0.0828,-0.0345,0.429
entity_overlap,5,0.3241,-0.0138,0.7055
entity_overlap,10,0.9793,0.0069,0.9943
entity_overlap,15,0.9931,0.0,0.9985
entity_overlap,20,0.9931,0.0,0.9985
entity_overlap,uncapped,0.9931,0.0,0.9985
recency,3,0.2483,0.131,0.6045
recency,5,0.5586,0.2207,0.8506
recency,10,0.9793,0.0069,0.9943
recency,15,0.9931,0.0,0.9985
recency,20,0.9931,0.0,0.9985
recency,uncapped,0.9931,0.0,0.9985
