family,k,n,strict_recall,fractional_recall,mean_pool_size,n_cap_binds
ambiguous_reference,3,8,0.125,0.5625,3.0,8
ambiguous_reference,5,8,0.75,0.875,5.0,2
ambiguous_reference,10,8,1.0,1.0,5.375,0
ambiguous_reference,15,8,1.0,1.0,5.375,0
ambiguous_reference,20,8,1.0,1.0,5.375,0
ambiguous_reference,uncapped,8,1.0,1.0,5.375,0
compound_turn,3,15,0.0,0.2667,3.0,15
compound_turn,5,15,0.4,0.7111,5.0,9
compound_turn,10,15,1.0,1.0,5.8667,0
compound_turn,15,15,1.0,1.0,5.8667,0
compound_turn,20,15,1.0,1.0,5.8667,0
compound_turn,uncapped,15,1.0,1.0,5.8667,0
constraint_retention,3,12,0.0,0.4583,3.0,12
constraint_retention,5,12,0.3333,0.6667,5.0,12
constraint_retention,10,12,0.9167,0.9583,10.0,12
constraint_retention,15,12,1.0,1.0,13.0833,12
constraint_retention,20,12,1.0,1.0,13.0833,12
constraint_retention,uncapped,12,1.0,1.0,13.0833,0
continuation,3,10,0.0,0.5086,3.0,10
continuation,5,10,0.3,0.8476,5.0,7
continuation,10,10,1.0,1.0,6.0,0
continuation,15,10,1.0,1.0,6.0,0
continuation,20,10,1.0,1.0,6.0,0
continuation,uncapped,10,1.0,1.0,6.0,0
join_then_split,3,10,0.4,0.7,3.0,10
join_then_split,5,10,0.4,0.7,5.0,6
join_then_split,10,10,1.0,1.0,5.6,0
join_then_split,15,10,1.0,1.0,5.6,0
join_then_split,20,10,1.0,1.0,5.6,0
join_then_split,uncapped,10,1.0,1.0,5.6,0
knowledge_update,3,12,0.0,0.4444,3.0,12
knowledge_update,5,12,0.0,0.5833,5.0,12
knowledge_update,10,12,0.9167,0.9722,10.0,12
knowledge_update,15,12,1.0,1.0,14.25,12
knowledge_update,20,12,1.0,1.0,14.6667,7
knowledge_update,uncapped,12,1.0,1.0,14.6667,0
long_noisy_side_thread,3,10,0.3,0.65,3.0,10
long_noisy_side_thread,5,10,0.8,0.9,5.0,10
long_noisy_side_thread,10,10,1.0,1.0,10.0,10
long_noisy_side_thread,15,10,1.0,1.0,14.5,10
long_noisy_side_thread,20,10,1.0,1.0,14.5,10
long_noisy_side_thread,uncapped,10,1.0,1.0,14.5,0
new_root,3,8,1.0,1.0,3.0,8
new_root,5,8,1.0,1.0,5.0,4
new_root,10,8,1.0,1.0,6.0,0
new_root,15,8,1.0,1.0,6.0,0
new_root,20,8,1.0,1.0,6.0,0
new_root,uncapped,8,1.0,1.0,6.0,0
resume,3,15,0.0,0.3333,3.0,15
resume,5,15,0.2667,0.7,5.0,12
resume,10,15,1.0,1.0,6.6667,0
resume,15,15,1.0,1.0,6.6667,0
resume,20,15,1.0,1.0,6.6667,0
resume,uncapped,15,1.0,1.0,6.6667,0
semantic_decoy,3,12,0.0833,0.5,3.0,12
semantic_decoy,5,12,0.25,0.7014,5.0,12
semantic_decoy,10,12,1.0,1.0,7.0,0
semantic_decoy,15,12,1.0,1.0,7.0,0
semantic_decoy,20,12,1.0,1.0,7.0,0
semantic_decoy,uncapped,12,1.0,1.0,7.0,0
three_way_join,3,8,0.0,0.3351,3.0,8
three_way_join,5,8,0.0,0.5169,5.0,8
three_way_join,10,8,0.75,0.9583,9.25,2
three_way_join,15,8,0.875,0.9722,9.5,0
three_way_join,20,8,0.875,0.9722,9.5,0
three_way_join,uncapped,8,0.875,0.9722,9.5,0
topic_fork,3,10,0.0,0.505,3.0,10
topic_fork,5,10,0.1,0.72,5.0,9
topic_fork,10,10,1.0,1.0,6.8,0
topic_fork,15,10,1.0,1.0,6.8,0
topic_fork,20,10,1.0,1.0,6.8,0
topic_fork,uncapped,10,1.0,1.0,6.8,0
two_branch_join,3,15,0.0,0.4972,3.0,15
two_branch_join,5,15,0.1333,0.7428,5.0,14
two_branch_join,10,15,1.0,1.0,7.4,0
two_branch_join,15,15,1.0,1.0,7.4,0
two_branch_join,20,15,1.0,1.0,7.4,0
two_branch_join,uncapped,15,1.0,1.0,7.4,0
