subset,k,n,strict_recall,strict_ci_low,strict_ci_high,fractional_recall,mean_pool_size,mean_pool_frac_of_history,n_cap_binds
all_145,3,145,0.1172,0.069,0.1724,0.4973,3.0,0.3892,145
all_145,5,145,0.3379,0.2621,0.4138,0.7347,5.0,0.6487,117
all_145,10,145,0.9724,0.9448,0.9931,0.992,7.3931,0.8565,36
all_145,15,145,0.9931,0.9793,1.0,0.9985,8.3241,0.8934,34
all_145,20,145,0.9931,0.9793,1.0,0.9985,8.3586,0.8948,29
all_145,uncapped,145,0.9931,0.9793,1.0,0.9985,8.3586,0.8948,0
cap_binds_only,3,145,0.1172,0.069,0.1724,0.4973,3.0,0.3892,145
cap_binds_only,5,117,0.1795,0.1111,0.2479,0.6712,5.0,0.5647,117
cap_binds_only,10,36,0.8889,0.7778,0.9722,0.9676,10.0,0.4221,36
cap_binds_only,15,34,1.0,1.0,1.0,1.0,13.9118,0.5503,34
cap_binds_only,20,29,1.0,1.0,1.0,1.0,14.1034,0.5241,29
excl_new_root,3,137,0.0657,0.0292,0.1095,0.4679,3.0,0.3818,137
excl_new_root,5,137,0.2993,0.2263,0.3723,0.7192,5.0,0.6364,113
excl_new_root,10,137,0.9708,0.9416,0.9927,0.9915,7.4745,0.8481,36
excl_new_root,15,137,0.9927,0.9781,1.0,0.9984,8.4599,0.8872,34
excl_new_root,20,137,0.9927,0.9781,1.0,0.9984,8.4964,0.8887,29
excl_new_root,uncapped,137,0.9927,0.9781,1.0,0.9984,8.4964,0.8887,0
feasible_k_ge_closure,3,97,0.1753,0.1031,0.2577,0.5137,3.0,0.3724,97
feasible_k_ge_closure,5,120,0.4083,0.325,0.5,0.7511,5.0,0.649,92
feasible_k_ge_closure,10,145,0.9724,0.9448,0.9931,0.992,7.3931,0.8565,36
feasible_k_ge_closure,15,145,0.9931,0.9793,1.0,0.9985,8.3241,0.8934,34
feasible_k_ge_closure,20,145,0.9931,0.9793,1.0,0.9985,8.3586,0.8948,29
feasible_k_ge_closure,uncapped,145,0.9931,0.9793,1.0,0.9985,8.3586,0.8948,0
long_families,3,34,0.0882,0.0,0.2059,0.5098,3.0,0.1194,34
long_families,5,34,0.3529,0.2059,0.5294,0.7059,5.0,0.1989,34
long_families,10,34,0.9412,0.8529,1.0,0.9755,10.0,0.3979,34
long_families,15,34,1.0,1.0,1.0,1.0,13.9118,0.5503,34
long_families,20,34,1.0,1.0,1.0,1.0,14.0588,0.5563,29
long_families,uncapped,34,1.0,1.0,1.0,1.0,14.0588,0.5563,0
