model_key,method_label,context_tokens,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,checklist_score,all_required_satisfied,distractor_leakage,recall_fallback,input_tokens,output_tokens,answer_latency_s,n,n_scored,context_tokens_median,token_reduction_pct,checklist_ci_low,checklist_ci_high
response_a,candidate_oracle@10,508.5172,0.9382,1.0,0.9522,1.0,0.0551,0.8868,0.7034,0.0207,0.0276,683.5931,234.2552,7.5804,145,145,461.0,66.2728,0.8529,0.9184
response_a,candidate_oracle@10[recall-holds],469.7234,0.9527,1.0,0.9645,1.0,0.0403,0.8942,0.7092,0.0142,0.0,640.4539,232.844,7.6367,141,141,442.0,68.8458,0.8623,0.9244
response_a,candidate_oracle@15,472.3379,0.9523,1.0,0.9645,1.0,0.0409,0.8868,0.7034,0.0138,0.0069,643.8552,233.8483,7.6293,145,145,442.0,68.6724,0.8534,0.9184
response_a,candidate_oracle@15[recall-holds],469.5,0.9537,1.0,0.9653,1.0,0.0395,0.8912,0.7083,0.0139,0.0,640.4583,233.3403,7.631,144,144,437.5,68.8606,0.8588,0.9213
response_a,candidate_oracle@5,1048.9724,0.6386,1.0,0.7153,1.0,0.3508,0.8695,0.6966,0.0897,0.6621,1283.9931,216.1034,6.0038,145,145,880.0,30.4274,0.8316,0.9057
response_a,candidate_oracle@5[recall-holds],340.102,0.9728,1.0,0.9796,1.0,0.0237,0.9371,0.8163,0.0,0.0,491.6531,220.9796,7.4645,49,49,303.0,77.4429,0.8929,0.9745
response_a,full_history,1507.7379,0.4183,1.0,0.5256,1.0,0.5672,0.8563,0.6552,0.1655,0.0,1794.4621,199.6138,5.2374,145,145,1005.0,0.0,0.8167,0.8931
response_a,oracle_dag,470.8897,0.954,1.0,0.9655,1.0,0.0392,0.8828,0.7172,0.0276,0.0,642.2483,232.9862,8.2845,145,145,442.0,68.7685,0.8466,0.9161
response_b,candidate_oracle@10,508.5172,0.9382,1.0,0.9522,1.0,0.0551,0.8495,0.6345,0.0552,0.0276,682.5931,202.8414,5.62,145,145,461.0,66.2728,0.8121,0.8852
response_b,candidate_oracle@10[recall-holds],469.7234,0.9527,1.0,0.9645,1.0,0.0403,0.8506,0.6312,0.0426,0.0,639.4539,200.234,5.6788,141,141,442.0,68.8458,0.8134,0.8859
response_b,candidate_oracle@15,472.3379,0.9523,1.0,0.9645,1.0,0.0409,0.8513,0.6414,0.0414,0.0069,642.8552,202.7586,5.7305,145,145,442.0,68.6724,0.8133,0.8876
response_b,candidate_oracle@15[recall-holds],469.5,0.9537,1.0,0.9653,1.0,0.0395,0.8502,0.6389,0.0417,0.0,639.4583,201.4931,5.728,144,144,437.5,68.8606,0.8125,0.8854
response_b,candidate_oracle@5,1048.9724,0.6386,1.0,0.7153,1.0,0.3508,0.8524,0.6552,0.1034,0.6621,1282.9931,202.9793,3.8189,145,145,880.0,30.4274,0.8123,0.8891
response_b,candidate_oracle@5[recall-holds],340.102,0.9728,1.0,0.9796,1.0,0.0237,0.8878,0.7143,0.0,0.0,490.6531,183.5714,5.5953,49,49,303.0,77.4429,0.8282,0.9405
response_b,full_history,1507.7379,0.4183,1.0,0.5256,1.0,0.5672,0.8202,0.5931,0.1862,0.0,1793.4621,200.8345,2.8134,145,145,1005.0,0.0,0.7777,0.8616
response_b,oracle_dag,470.8897,0.954,1.0,0.9655,1.0,0.0392,0.8463,0.6069,0.0207,0.0,641.2483,206.0138,6.9123,145,145,442.0,68.7685,0.8101,0.8802
response_c,candidate_oracle@15,472.3379,0.9523,1.0,0.9645,1.0,0.0409,0.9084,0.7241,0.0276,0.0069,580.2966,476.4069,8.5463,145,145,442.0,68.6724,0.8797,0.9345
response_c,candidate_oracle@15[recall-holds],469.5,0.9537,1.0,0.9653,1.0,0.0395,0.9095,0.7292,0.0208,0.0,577.4722,473.0972,8.5118,144,144,437.5,68.8606,0.8815,0.9356
response_c,full_history,1507.7379,0.4183,1.0,0.5256,1.0,0.5672,0.8779,0.6897,0.1448,0.0,1591.4828,481.5586,8.6952,145,145,1005.0,0.0,0.842,0.9118
response_c,oracle_dag,470.8897,0.954,1.0,0.9655,1.0,0.0392,0.9015,0.7034,0.0207,0.0,578.8621,483.2,9.0819,145,145,442.0,68.7685,0.8731,0.9276
