model_key,method_label,length,n,n_scored,checklist,leakage,retraction,context_tokens,context_recall,context_precision
response_a,full_history,30,32,32,0.9167,0.1875,0.0,3990.1875,1.0,0.1279
response_a,full_history,60,40,40,0.9188,0.05,0.0,8220.325,1.0,0.0579
response_a,full_history,base,40,40,0.8542,0.125,0.075,1825.975,1.0,0.4084
response_a,oracle_dag,base,40,40,0.8771,0.025,0.075,435.1,1.0,1.0
response_a,semantic_retrieval@matched,30,32,32,0.7786,0.1562,0.0938,453.2188,0.8187,0.8272
response_a,semantic_retrieval@matched,60,40,40,0.8292,0.0,0.075,426.65,0.8341,0.8409
response_a,semantic_retrieval@matched,base,40,40,0.85,0.05,0.1,431.225,0.9615,0.9639
response_b,full_history,30,32,32,0.8385,0.1562,0.0312,3990.1875,1.0,0.1279
response_b,full_history,60,40,40,0.9167,0.025,0.0,8220.325,1.0,0.0579
response_b,full_history,base,40,40,0.8021,0.075,0.05,1825.975,1.0,0.4084
response_b,oracle_dag,base,40,40,0.8708,0.025,0.15,435.1,1.0,1.0
response_b,semantic_retrieval@matched,30,32,32,0.7005,0.125,0.2188,453.2188,0.8187,0.8272
response_b,semantic_retrieval@matched,60,40,40,0.7833,0.075,0.2,426.65,0.8341,0.8409
response_b,semantic_retrieval@matched,base,40,40,0.8688,0.0,0.15,431.225,0.9615,0.9639
response_c,full_history,30,32,32,0.9036,0.125,0.0,3990.1875,1.0,0.1279
response_c,full_history,60,40,40,0.9125,0.025,0.0,8220.325,1.0,0.0579
response_c,full_history,base,40,40,0.8854,0.125,0.025,1825.975,1.0,0.4084
response_c,oracle_dag,base,40,40,0.9292,0.0,0.0,435.1,1.0,1.0
response_c,semantic_retrieval@matched,30,32,32,0.8359,0.0938,0.0938,453.2188,0.8187,0.8272
response_c,semantic_retrieval@matched,60,40,40,0.8854,0.0256,0.05,426.65,0.8341,0.8409
response_c,semantic_retrieval@matched,base,40,40,0.9375,0.0,0.0,431.225,0.9615,0.9639
