model,a,b,n,q_diff,q_ci_low,q_ci_high,se,tok_a,tok_b
response_a,full_history@base,full_history@60,40,-0.0646,-0.1583,0.025,0.0481,1825.975,8220.325
response_a,full_history@base,full_history@30,32,-0.0833,-0.1901,0.0156,0.0534,936.8125,3990.1875
response_a,full_history@30,full_history@60,32,0.0026,-0.0495,0.0547,0.0274,3990.1875,8027.1875
response_a,oracle_dag@base,full_history@base,40,0.0229,-0.0333,0.0854,0.0307,435.1,1825.975
response_a,oracle_dag@base,full_history@30,32,-0.0469,-0.138,0.0339,0.0449,461.7188,3990.1875
response_a,oracle_dag@base,full_history@60,40,-0.0417,-0.1188,0.0292,0.0387,435.1,8220.325
response_a,oracle_dag@base,semantic_retrieval@matched@base,40,0.0271,-0.025,0.0854,0.0281,435.1,431.225
response_a,oracle_dag@base,semantic_retrieval@matched@30,32,0.0911,0.013,0.1797,0.043,461.7188,453.2188
response_a,oracle_dag@base,semantic_retrieval@matched@60,40,0.0479,-0.0271,0.1271,0.0398,435.1,426.65
response_a,semantic_retrieval@matched@base,semantic_retrieval@matched@60,40,0.0208,-0.0417,0.0875,0.0336,431.225,426.65
response_b,full_history@base,full_history@60,40,-0.1146,-0.2,-0.0333,0.0426,1825.975,8220.325
response_b,full_history@base,full_history@30,32,-0.0469,-0.125,0.0234,0.038,936.8125,3990.1875
response_b,full_history@30,full_history@60,32,-0.0807,-0.1719,0.0052,0.0462,3990.1875,8027.1875
response_b,oracle_dag@base,full_history@base,40,0.0688,0.0062,0.1396,0.034,435.1,1825.975
response_b,oracle_dag@base,full_history@30,32,0.0312,-0.0703,0.1302,0.0522,461.7188,3990.1875
response_b,oracle_dag@base,full_history@60,40,-0.0458,-0.1042,0.0062,0.0289,435.1,8220.325
response_b,oracle_dag@base,semantic_retrieval@matched@base,40,0.0021,-0.0396,0.0479,0.0222,435.1,431.225
response_b,oracle_dag@base,semantic_retrieval@matched@30,32,0.1693,0.0703,0.276,0.0538,461.7188,453.2188
response_b,oracle_dag@base,semantic_retrieval@matched@60,40,0.0875,0.0104,0.1729,0.0411,435.1,426.65
response_b,semantic_retrieval@matched@base,semantic_retrieval@matched@60,40,0.0854,0.0146,0.1646,0.0386,431.225,426.65
response_c,full_history@base,full_history@60,40,-0.0271,-0.1021,0.0417,0.0365,1825.975,8220.325
response_c,full_history@base,full_history@30,32,-0.0312,-0.1198,0.0599,0.0467,936.8125,3990.1875
response_c,full_history@30,full_history@60,32,-0.0026,-0.0911,0.0755,0.0432,3990.1875,8027.1875
response_c,oracle_dag@base,full_history@base,40,0.0438,-0.0271,0.1126,0.0361,435.1,1825.975
response_c,oracle_dag@base,full_history@30,32,0.0312,-0.0573,0.1328,0.0485,461.7188,3990.1875
response_c,oracle_dag@base,full_history@60,40,0.0167,-0.0312,0.0667,0.0257,435.1,8220.325
response_c,oracle_dag@base,semantic_retrieval@matched@base,40,-0.0083,-0.0667,0.05,0.0297,435.1,431.225
response_c,oracle_dag@base,semantic_retrieval@matched@30,32,0.099,-0.0052,0.2031,0.0538,461.7188,453.2188
response_c,oracle_dag@base,semantic_retrieval@matched@60,40,0.0438,-0.0354,0.1271,0.0416,435.1,426.65
response_c,semantic_retrieval@matched@base,semantic_retrieval@matched@60,40,0.0521,-0.0167,0.1188,0.0351,431.225,426.65
pooled,full_history@base,full_history@60,40,-0.0688,-0.1306,-0.0097,0.0315,1825.975,8220.325
pooled,full_history@base,full_history@30,32,-0.0538,-0.1137,0.0043,0.0305,936.8125,3990.1875
pooled,full_history@30,full_history@60,32,-0.0269,-0.0712,0.0191,0.0231,3990.1875,8027.1875
pooled,oracle_dag@base,full_history@base,40,0.0451,-0.0014,0.0944,0.0247,435.1,1825.975
pooled,oracle_dag@base,full_history@30,32,0.0052,-0.0582,0.0642,0.0316,461.7188,3990.1875
pooled,oracle_dag@base,full_history@60,40,-0.0236,-0.0667,0.016,0.0218,435.1,8220.325
pooled,oracle_dag@base,semantic_retrieval@matched@base,40,0.0069,-0.0278,0.0424,0.018,435.1,431.225
pooled,oracle_dag@base,semantic_retrieval@matched@30,32,0.1198,0.0443,0.2005,0.0405,461.7188,453.2188
pooled,oracle_dag@base,semantic_retrieval@matched@60,40,0.0597,-0.0028,0.1271,0.0337,435.1,426.65
pooled,semantic_retrieval@matched@base,semantic_retrieval@matched@60,40,0.0528,-0.0028,0.1118,0.03,431.225,426.65
